STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00025333,"SITKA AIRPORT, AK US",7/1/18,0.25,,62,50
USW00025333,"SITKA AIRPORT, AK US",7/2/18,0.01,,58,53
USW00025333,"SITKA AIRPORT, AK US",7/3/18,0,,70,54
USW00025333,"SITKA AIRPORT, AK US",7/4/18,0,,70,55
USW00025333,"SITKA AIRPORT, AK US",7/5/18,0,,67,55
USW00025333,"SITKA AIRPORT, AK US",7/6/18,0,,59,55
USW00025333,"SITKA AIRPORT, AK US",7/7/18,0,,58,55
USW00025333,"SITKA AIRPORT, AK US",7/8/18,0,,62,54
USW00025333,"SITKA AIRPORT, AK US",7/9/18,0,,66,55
USW00025333,"SITKA AIRPORT, AK US",7/10/18,0.44,,59,53
USW00025333,"SITKA AIRPORT, AK US",7/11/18,0.29,,56,50
USW00025333,"SITKA AIRPORT, AK US",7/12/18,0.02,,63,49
USW00025333,"SITKA AIRPORT, AK US",7/13/18,0,,65,48
USW00025333,"SITKA AIRPORT, AK US",7/14/18,0.32,,58,52
USW00025333,"SITKA AIRPORT, AK US",7/15/18,0.75,,56,52
USW00025333,"SITKA AIRPORT, AK US",7/16/18,0.61,,59,52
USW00025333,"SITKA AIRPORT, AK US",7/17/18,0,,64,52
USW00025333,"SITKA AIRPORT, AK US",7/18/18,0.16,,60,53
USW00025333,"SITKA AIRPORT, AK US",7/19/18,0.14,,60,53
USW00025333,"SITKA AIRPORT, AK US",7/20/18,0,,61,56
USW00025333,"SITKA AIRPORT, AK US",7/21/18,0,,65,55
USW00025333,"SITKA AIRPORT, AK US",7/22/18,0,,65,54
USW00025333,"SITKA AIRPORT, AK US",7/23/18,0,,63,54
USW00025333,"SITKA AIRPORT, AK US",7/24/18,0,,59,52
USW00025333,"SITKA AIRPORT, AK US",7/25/18,0,,64,52
USW00025333,"SITKA AIRPORT, AK US",7/26/18,0,,65,58
USW00025333,"SITKA AIRPORT, AK US",7/27/18,0,,68,58
USW00025333,"SITKA AIRPORT, AK US",7/28/18,0,,66,56
USW00025333,"SITKA AIRPORT, AK US",7/29/18,0,,64,56
USW00025333,"SITKA AIRPORT, AK US",7/30/18,0,,67,58
USW00025333,"SITKA AIRPORT, AK US",7/31/18,0,,65,56